feature,hr,ci_lower,ci_upper,z,p,n,events,q
dist_H02_H08,1.0742509650521874,0.868246254691735,1.3291334453556396,0.6593584907749901,0.5096655906575287,200,112,0.9973126457678482
disp_H02_j_function,0.939278134205258,0.7796374681710585,1.13160725261929,-0.659102209917752,0.5098301366729499,200,112,0.9973126457678482
disp_H01_clark_evans,1.0691148593590074,0.8746082430057354,1.306878355701405,0.6522897599853674,0.5142142646596045,200,112,0.9973126457678482
dist_H01_H02,0.9354588172232322,0.7641530807657848,1.1451674026410215,-0.6464915179070276,0.5179610885478382,200,112,0.9973126457678482
disp_H04_kde_summary,1.0677206045123524,0.8738679478890112,1.3045761571346894,0.6410154596738528,0.5215126387333506,200,112,0.9973126457678482
disp_H04_quadrat_dispersion,0.9400843908558228,0.7774387704423018,1.1367566109778318,-0.6374740781977087,0.5238160894255028,200,112,0.9973126457678482
dist_H01_H04,0.9390277200325557,0.7736672502889071,1.1397316593926696,-0.6365508054476967,0.5244174777733898,200,112,0.9973126457678482
disp_H04_ripley_l,0.937833615195271,0.769649449059421,1.1427694658459076,-0.6364981295365922,0.5244517997272853,200,112,0.9973126457678482
disp_H07_quadrat_dispersion,0.941061969214536,0.7781312583567114,1.1381082823638016,-0.626259396374872,0.5311448140679141,200,112,0.9973126457678482
disp_H02_kde_summary,0.9447979694691293,0.7877186067793165,1.133200606702272,-0.6120816149681855,0.5404837607864106,200,112,0.9973126457678482
disp_H03_g_function,1.05763683321102,0.8817585271359538,1.2685963747897664,0.6038823621406814,0.5459218560486767,200,112,0.9973126457678482
dist_H03_H03,1.05763683321102,0.8817585271359538,1.2685963747897664,0.6038823621406814,0.5459218560486767,200,112,0.9973126457678482
disp_H07_j_function,0.9430359292297191,0.7786232084158089,1.1421657538664545,-0.6000384170371111,0.5484806327913574,200,112,0.9973126457678482
inter_H10_H05,0.9370680341482703,0.7575796712025838,1.1590813930218211,-0.59915418780589,0.5490700693550987,200,112,0.9973126457678482
inter_H05_H10,0.9370680341482703,0.7575796712025838,1.1590813930218211,-0.59915418780589,0.5490700693550987,200,112,0.9973126457678482
div_simpson,1.0613502970362607,0.8720622743849471,1.2917247840051767,0.5940859202843497,0.5524546474570553,200,112,0.9973126457678482
inter_H01_H04,1.051641359027971,0.889136566743323,1.243846659089733,0.5879327846970013,0.5565774097450608,200,112,0.9973126457678482
inter_H04_H01,1.051641359027971,0.889136566743323,1.243846659089733,0.5879327846970013,0.5565774097450608,200,112,0.9973126457678482
disp_H03_kde_summary,0.9404537718362366,0.7663927310617288,1.1540470846268585,-0.5879169745276077,0.5565880222623503,200,112,0.9973126457678482
dist_H06_H08,0.9447719942390667,0.7784277342510919,1.1466627945331471,-0.5749484159214234,0.5653261843356171,200,112,0.9973126457678482
div_inv_simpson,1.0590144968258475,0.8709022430286997,1.2877584292205624,0.5746544557946197,0.5655250151799239,200,112,0.9973126457678482
disp_H06_j_function,1.0568739857871872,0.8743708998717161,1.2774700324514165,0.5719184412947877,0.567377229885625,200,112,0.9973126457678482
disp_H06_pair_correlation,0.9535191945119466,0.808986142361141,1.1238744481445448,-0.5675092514890716,0.5703682428733412,200,112,0.9973126457678482
inter_H05_H05,1.05930717678833,0.8681638495877135,1.2925344626226452,0.5674835508551836,0.5703856991315538,200,112,0.9973126457678482
div_pielou,1.058250436120202,0.8690791118823282,1.2885984374000574,0.5634627689327274,0.5731198054734972,200,112,0.9973126457678482
div_shannon,1.0582504361201952,0.8690791118823242,1.2885984374000468,0.5634627689326687,0.5731198054735374,200,112,0.9973126457678482
inter_H03_H02,0.9468266363478557,0.7805756321259099,1.1484866326869767,-0.5546331752946231,0.579145592451398,200,112,0.9973126457678482
inter_H02_H03,0.9468266363478557,0.7805756321259099,1.1484866326869767,-0.5546331752946231,0.579145592451398,200,112,0.9973126457678482
inter_H02_H10,1.0549569561069188,0.8701867166133591,1.2789602024376494,0.5445827119319036,0.5860405475787894,200,112,0.9973126457678482
inter_H10_H02,1.0549569561069188,0.8701867166133591,1.2789602024376494,0.5445827119319036,0.5860405475787894,200,112,0.9973126457678482
dist_H10_H10,1.053516135851073,0.8724982994729656,1.2720898701682415,0.5419853654912357,0.5878285874931821,200,112,0.9973126457678482
disp_H10_g_function,1.053516135851073,0.8724982994729656,1.2720898701682415,0.5419853654912357,0.5878285874931821,200,112,0.9973126457678482
comp_H04,0.9533595490892061,0.8004607565036614,1.1354640717298135,-0.5355355645240918,0.5922795718270684,200,112,0.9973126457678482
disp_H10_j_function,1.0501740847392007,0.8775323045647253,1.2567806364745315,0.5342608536555382,0.5931610720141717,200,112,0.9973126457678482
disp_H01_quadrat_dispersion,0.9515125015676051,0.7887582489724131,1.1478498536388777,-0.5192893289493903,0.6035589936676459,200,112,0.9973126457678482
disp_H02_f_function,1.0529529115405571,0.8656840876493685,1.2807326018112064,0.5164136973826354,0.6055655011221079,200,112,0.9973126457678482
dist_H03_H04,1.0482355586872767,0.8765230882378949,1.2535868150437188,0.516100278736222,0.6057843732855523,200,112,0.9973126457678482
